SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
7.928809702,-11.99525863,-47.1974049,337,0.8319949,10,15952.9663,30.46755272,0.50988495,18.53207293,0.8485878,5.6,6
7.95818891,-7.551124423,-47.81849996,224,0.1606507,10,18899.66449,25.89765998,0.4627391,15.53218265,0.814689924,5.3,6
7.961617075,-11.62092092,-49.31878163,306,1.442125,10,17692.67252,32.13611615,0.48980212,14.43357036,0.860964623,5.2,6
7.963153512,-7.550835555,-47.44041316,175,0.9949936,10,18027.40121,29.1823772,0.45314425,21.85009916,0.839054815,5.2,6
8.03254509,-12.75483849,-48.28556156,299,1.9737185,10,15274.87831,31.15799276,0.54177564,22.24026673,0.853709244,5.4,6
8.08969621,-11.5032901,-49.56709632,201,0.12446432,10,17704.95843,31.64676962,0.5256318,15.34986109,0.857334821,5.2,6
8.091456437,-9.955347393,-47.73511092,267,0.9362871,10,18110.57719,33.05841188,0.5090079,14.43357036,0.867805892,5.2,6
8.091933616,-6.346826161,-47.48952744,223,1.7127788,10,18696.27545,30.36330311,0.28148606,15.44517127,0.847814512,5.2,6
8.114444654,-10.84093557,-49.35633703,201,0.21137263,10,19251.76547,32.05807136,0.5364382,18.960779,0.860385714,5.2,6
8.125237011,-9.382301058,-48.48856571,234,0.43224987,10,19404.53442,33.73688885,0.39263248,14.99318615,0.872838598,5.2,6
8.126388247,-12.11666584,-50.42111615,205,0.19605249,10,17009.35887,29.55083976,0.6293157,14.65671391,0.841787942,5.4,4
8.217852282,-12.19462978,-50.03481509,203,0.08681613,10,16734.0028,32.02389116,0.47923353,16.57363652,0.860132177,5.4,6
8.221535349,-10.40043545,-49.3054978,232,0.9485769,10,19078.77739,31.91166617,0.43388197,14.43357036,0.859299731,5.1,6
8.241724359,-9.087337704,-47.25309215,262,1.0565585,10,18570.35893,32.13682824,0.5203648,19.34989497,0.860969905,5.4,6
8.242656135,-7.065776683,-47.87894476,386,3.8321135,10,18440.32221,26.71114874,0.40907657,14.83903547,0.820724101,5.1,6
8.265018265,-9.877291011,-47.87016125,257,1.8413289,10,18250.59864,27.68186642,0.53794056,16.76084806,0.827924547,5.2,6
8.26934946,-5.689425419,-47.75749125,250,0.20899986,10,16215.26669,31.74931022,0.454147,15.68633333,0.858095431,4.8,6
8.324255995,-10.84223044,-49.17643888,285,1.7446839,10,18643.64691,30.77923342,0.52810943,17.10771901,0.850899739,5.3,6
